MW LV;SD LV;MW LA;SD LA;MW RV;SD RV;MW RA;SD RA;MW Aorta;SD Aorta;MW RCA;SD RCA;MW LCA;SD LCA
580;38,46;529;49,06;135;28,04;155;35,01;690;25,26;652;31,78;654;17,8
486;27,68;466;39,23;119;31,45;113;26,65;575;28,2;562;25,79;555;16,64
394;34,41;389;20,81;109;22,65;123;15,52;508;18,49;494;12,77;450;10,91
330;20,02;330;17,92;176;20,69;171;27,13;447;16,61;454;34,63;412;33,65
427;26,42;451;41,7;175;28,21;166;25,79;470;29,39;419;10,49;483;10,86
349;23,54;282;27,31;92;22,96;92;18,17;477;18,14;313;13,15;410;8,06
457;36,92;372;45,9;86;25,73;105;26,57;555;34,93;555;25,55;530;18,79
324;20,49;274;23,43;90;13,15;72;13,42;397;16,25;183;13,3;353;13,78
477;35,4;475;33,73;139;26,55;145;27,02;514;37,96;438;28,48;489;30,38
351;31,56;277;47,05;92;31,59;84;24,56;488;28,69;427;13,64;376;29,8
574;18,19;599;19,18;163;16,73;150;12,49;1030;20,95;893;84,49;888;30,28
580;55,3;558;52,25;144;26,04;130;29,92;645;21,59;325;6,4;584;19,42
461;20,93;412;32,17;127;24,58;128;21,05;541;20,45;514;17,89;523;13,27
567;38;573;41,89;201;26,8;121;25,81;645;34,5;624;13,67;545;39,46
708;93,09;705;86,48;448;91,73;484;65,63;700;65,05;528;16,16;612;20,93
288;25,83;292;30,84;119;27,13;107;26,55;351;28,35;212;9,27;343;12,96
448;37,67;418;25,4;182;10;162;16,22;592;17,66;647;12,49;600;22,8
571;41,01;564;38,2;114;19,05;166;23,24;673;21,98;739;11,31;675;10,86
547;45,27;539;46,74;296;39,57;262;35,26;498;37,95;564;12,96;535;10,58
234;19,47;56;19,97;76;14,14;97;6,71;311;15,91;359;15,81;336;13,89
495;31,89;505;32,33;154;24,64;184;15,59;527;21,14;498;27,82;470;33,76
301;20,49;281;20,15;125;12,12;130;14,49;345;13;315;9,8;329;26,34
502;13,08;486;19,52;121;17,75;95;16,52;537;15,49;452;43,9;527;19,42
607;39,2;580;63,28;156;40,64;180;29;707;23,54;500;84,23;725;15,75
403;19,95;368;34,31;111;20,83;110;9,7;546;17,78;594;5,66;548;7,81
454;32,14;441;32;181;28,72;134;24,43;488;16,64;341;8,72;452;29,07
509;26,04;446;39,15;71;25,46;82;21,52;540;18,28;448;20,76;442;52,04
498;13,96;482;30,02;159;20,98;121;20,93;594;28,95;483;16;555;30,72
793;56,67;801;34,99;176;19,03;186;20,78;795;33,69;877;13,27;801;19,82
292;21,91;284;18,57;120;20,52;155;17;392;18,41;430;20,47;429;12,49
503;18,79;524;15,13;133;20,42;185;13,42;576;17,12;487;38,65;597;12,81
375;23,64;285;28,95;168;15,13;183;27,75;479;16,52;499;36,85;551;38,72
358;29,1;333;36,72;119;27,22;94;15,94;384;24,84;362;23,47;360;17,29
345;40,36;337;45,25;123;28,3;59;33,17;481;20,62;442;14,82;442;34,57
550;17,32;550;40,67;156;25,87;111;31,5;639;19,85;724;8,66;646;22,93
610;51,57;605;42,13;139;36,41;96;32,42;650;32,2;610;23,62;578;35,71
402;34,07;337;38,34;109;24,52;72;29,43;563;43,05;557;24;527;42,99
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Mittelwert;;;;;;;;;;;;;
Standardabweichung;;;;;;;;;;;;;
Linker Ventrikel;;;;;;;;;;;;;
Linkes Atrium;;;;;;;;;;;;;
Rechter Ventrikel;;;;;;;;;;;;;
Rechtes Atrium;;;;;;;;;;;;;
Rechte Koronararterie;;;;;;;;;;;;;
Linke Koronararterie;;;;;;;;;;;;;
